[Parameters]
Parameter,Value
Room Lx (m),2.700
Room Ly (m),3.600
Room Lz (m),2.400
"Speaker 1 (x,y,z)","0.490, 0.840, 0.600"
"Speaker 2 (x,y,z)","2.210, 0.840, 0.600"
"Mic (x,y,z)","1.350, 2.060, 0.900"
Reflection Rx,0.800
Reflection Ry,0.800
Reflection Rz,0.800
Wall Left (X=0),0.80
Wall Right (X=Lx),0.80
Wall Front (Y=0),0.80
Wall Back (Y=Ly),0.80
Wall Floor (Z=0),0.80
Wall Ceiling (Z=Lz),0.80
Frequency (Hz),63.0
Source count,2
Phase correction,True Complex Field
Room scatter,0.30
Listening area (m),0.20

[Frequency Response]
Frequency (Hz),Relative SPL (dB)
20.0,-7.546
21.0,-7.328
22.0,-7.104
23.0,-6.872
24.0,-6.633
25.0,-6.387
26.0,-6.132
27.0,-5.870
28.0,-5.599
29.0,-5.319
30.0,-5.031
31.0,-4.735
32.0,-4.431
33.0,-4.119
34.0,-3.800
35.0,-3.475
36.0,-3.147
37.0,-2.816
38.0,-2.487
39.0,-2.162
40.0,-1.847
41.0,-1.548
42.0,-1.271
43.0,-1.024
44.0,-0.814
45.0,-0.651
46.0,-0.541
47.0,-0.489
48.0,-0.498
49.0,-0.567
50.0,-0.692
51.0,-0.866
52.0,-1.080
53.0,-1.323
54.0,-1.584
55.0,-1.852
56.0,-2.116
57.0,-2.366
58.0,-2.593
59.0,-2.789
60.0,-2.947
61.0,-3.061
62.0,-3.126
63.0,-3.142
64.0,-3.108
65.0,-3.029
66.0,-2.910
67.0,-2.760
68.0,-2.591
69.0,-2.416
70.0,-2.245
71.0,-2.092
72.0,-1.964
73.0,-1.867
74.0,-1.803
75.0,-1.773
76.0,-1.772
77.0,-1.798
78.0,-1.844
79.0,-1.908
80.0,-1.984
81.0,-2.069
82.0,-2.163
83.0,-2.262
84.0,-2.366
85.0,-2.475
86.0,-2.588
87.0,-2.707
88.0,-2.832
89.0,-2.964
90.0,-3.105
91.0,-3.258
92.0,-3.422
93.0,-3.598
94.0,-3.784
95.0,-3.974
96.0,-4.163
97.0,-4.340
98.0,-4.496
99.0,-4.621
100.0,-4.706
101.0,-4.746
102.0,-4.739
103.0,-4.686
104.0,-4.590
105.0,-4.455
106.0,-4.287
107.0,-4.091
108.0,-3.872
109.0,-3.635
110.0,-3.383
111.0,-3.121
112.0,-2.852
113.0,-2.577
114.0,-2.300
115.0,-2.023
116.0,-1.749
117.0,-1.480
118.0,-1.220
119.0,-0.973
120.0,-0.742
121.0,-0.534
122.0,-0.352
123.0,-0.203
124.0,-0.092
125.0,-0.024
126.0,0.000
127.0,-0.021
128.0,-0.085
129.0,-0.186
130.0,-0.315
131.0,-0.460
132.0,-0.611
133.0,-0.754
134.0,-0.878
135.0,-0.976
136.0,-1.044
137.0,-1.082
138.0,-1.094
139.0,-1.088
140.0,-1.073
141.0,-1.061
142.0,-1.060
143.0,-1.080
144.0,-1.126
145.0,-1.203
146.0,-1.313
147.0,-1.455
148.0,-1.627
149.0,-1.825
150.0,-2.047
151.0,-2.286
152.0,-2.537
153.0,-2.797
154.0,-3.059
155.0,-3.321
156.0,-3.578
157.0,-3.829
158.0,-4.069
159.0,-4.300
160.0,-4.519
161.0,-4.727
162.0,-4.924
163.0,-5.109
164.0,-5.281
165.0,-5.441
166.0,-5.586
167.0,-5.716
168.0,-5.827
169.0,-5.919
170.0,-5.988
171.0,-6.033
172.0,-6.052
173.0,-6.045
174.0,-6.009
175.0,-5.946
176.0,-5.855
177.0,-5.738
178.0,-5.598
179.0,-5.436
180.0,-5.256
181.0,-5.063
182.0,-4.860
183.0,-4.652
184.0,-4.444
185.0,-4.241
186.0,-4.049
187.0,-3.872
188.0,-3.714
189.0,-3.579
190.0,-3.471
191.0,-3.390
192.0,-3.339
193.0,-3.318
194.0,-3.325
195.0,-3.360
196.0,-3.420
197.0,-3.504
198.0,-3.608
199.0,-3.729
200.0,-3.866
201.0,-4.016

[Room Modes]
Frequency (Hz),"Mode (nx, ny, nz)",Length (m)
47.6,"(0, 1, 0)",3.600
63.5,"(1, 0, 0)",2.700
71.5,"(0, 0, 1)",2.400
79.4,"(1, 1, 0)",2.160
85.9,"(0, 1, 1)",1.997
95.3,"(0, 2, 0)",1.800
95.6,"(1, 0, 1)",1.794
106.8,"(1, 1, 1)",1.606
114.5,"(1, 2, 0)",1.498
119.1,"(0, 2, 1)",1.440
127.0,"(2, 0, 0)",1.350
135.0,"(1, 2, 1)",1.271
135.7,"(2, 1, 0)",1.264
142.9,"(0, 0, 2)",1.200
142.9,"(0, 3, 0)",1.200
145.8,"(2, 0, 1)",1.177
150.6,"(0, 1, 2)",1.138
153.3,"(2, 1, 1)",1.118
156.4,"(1, 0, 2)",1.097
156.4,"(1, 3, 0)",1.097
158.8,"(2, 2, 0)",1.080
159.8,"(0, 3, 1)",1.073
163.5,"(1, 1, 2)",1.049
171.8,"(0, 2, 2)",0.998
171.9,"(1, 3, 1)",0.997
174.1,"(2, 2, 1)",0.985
183.1,"(1, 2, 2)",0.936
190.6,"(3, 0, 0)",0.900
190.6,"(0, 4, 0)",0.900
191.2,"(2, 0, 2)",0.897
191.2,"(2, 3, 0)",0.897
196.4,"(3, 1, 0)",0.873
197.1,"(2, 1, 2)",0.870
200.9,"(1, 4, 0)",0.854
